Instrument,RIC,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
RVTY.N,RVTY.N,,,,,,,,,,,,,
SBAC.O,SBAC.O,,,,,,,,,,,,,
SBUX.O,SBUX.O,,,,,,,,,,,,,
SHW.N,SHW.N,,,,,,,,,,,,,
SJM.N,SJM.N,,,,,,,,,,,,,
SLB.N,SLB.N,,,,,,,,,,,,,
SMCI.O,SMCI.O,,,,,,,,,,,,,
SNA.N,SNA.N,,,,,,,,,,,,,
SNPS.O,,,,,,,,,,,,,,
SO.N,SO.N,,,,,,,,,,,,,
SO.N,SO.N,,,,,,,,,,,,,
SO.N,SO.N,,,,,,,,,,,,,
SO.N,SO.N,,,,,,,,,,,,,
SO.N,SO.N,,,,,,,,,,,,,
SOLV.N,SOLV.N,,,,,,,,,,,,,
SPG.N,SPG.N,,,,,,,,,,,,,
SPG.N,SPG.N,,,,,,,,,,,,,
SRE.N,SRE.N,,,,,,,,,,,,,
STE.N,STE.N,,,,,,,,,,,,,
STLD.O,STLD.O,,,,,,,,,,,,,
STX.O,STX.O,,,,,,,,,,,,,
STZ.N,STZ.N,,,,,,,,,,,,,
SW.N,SW.N,,,,,,,,,,,,,
SWK.N,SWK.N,,,,,,,,,,,,,
SWKS.O,SWKS.O,,,,,,,,,,,,,
SYK.N,SYK.N,,,,,,,,,,,,,
SYY.N,SYY.N,,,,,,,,,,,,,
T.N,T.N,,,,,,,,,,,,,
T.N,T.N,,,,,,,,,,,,,
T.N,T.N,,,,,,,,,,,,,
T.N,T.N,,,,,,,,,,,,,
TAP.N,TAP.N,,,,,,,,,,,,,
TAP.N,TAP.N,,,,,,,,,,,,,
TDG.N,TDG.N,,,,,,,,,,,,,
TDY.N,TDY.N,,,,,,,,,,,,,
TECH.O,TECH.O,,,,,,,,,,,,,
TEL.N,TEL.N,,,,,,,,,,,,,
TER.O,TER.O,,,,,,,,,,,,,
TFX.N,TFX.N,,,,,,,,,,,,,
TGT.N,TGT.N,,,,,,,,,,,,,
TJX.N,TJX.N,,,,,,,,,,,,,
TMO.N,TMO.N,,,,,,,,,,,,,
TMUS.O,TMUS.O,,,,,,,,,,,,,
TPL.N,TPL.N,,,,,,,,,,,,,
TPR.N,TPR.N,,,,,,,,,,,,,
